2024-09-19 11:26:19 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 203, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 327}, 'POM_5V_GPU': {'volt': 5088, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5080, 'curr': 568, 'power': 2926, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2881, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:20 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 245}, 'POM_5V_GPU': {'volt': 5096, 'curr': 8, 'power': 40, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 20}}, 'tot': {'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2745, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:21 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 204}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 10}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2638, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:22 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 183}, 'POM_5V_GPU': {'volt': 5096, 'curr': 8, 'power': 40, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 25}}, 'tot': {'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2623, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:23 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 173}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 12}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2572, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2597, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:24 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 168}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 6}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2564, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:25 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 165}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3}}, 'tot': {'volt': 5104, 'curr': 488, 'power': 2490, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2527, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:26 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 164}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2529, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:27 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2530, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:28 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 24, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2530, 'name': 'POM_5V_IN'}}
