timestamp,cpu_volt,cpu_curr,cpu_power,cpu_avg_power,gpu_volt,gpu_curr,gpu_power,gpu_avg_power,total_volt,total_curr,total_power,total_avg_power
2024-09-22 13:10:20,5032,560,2817,2830,5032,0,0,0,5032,864,4347,4329
2024-09-22 13:10:21,5016,608,3049,2939,5016,0,0,0,5024,904,4541,4435
2024-09-22 13:10:22,5000,624,3120,3029,5008,8,40,20,5008,952,4767,4601
2024-09-22 13:10:23,5000,624,3120,3074,5008,16,80,50,5008,952,4767,4684
2024-09-22 13:10:24,5016,584,2929,3001,5016,0,0,25,5016,904,4534,4609
2024-09-22 13:10:25,5008,624,3124,3062,5008,0,0,12,5016,936,4687,4648
2024-09-22 13:10:26,5008,608,3009,3035,5016,0,0,6,5016,912,4574,4611
2024-09-22 13:10:27,5000,592,2964,2999,5008,0,0,3,5016,928,4654,4632
2024-09-22 13:10:28,5168,24,124,1561,5168,0,0,1,5168,336,1736,3184
2024-09-22 13:10:29,5176,32,165,863,5176,0,0,0,5176,328,1697,2440
2024-09-22 13:10:30,5176,32,165,514,5176,0,0,0,5176,328,1697,2068
2024-09-22 13:10:31,5176,32,165,339,5168,0,0,0,5168,328,1736,1902
2024-09-22 13:10:32,5176,24,124,231,5176,0,0,0,5176,328,1697,1799
2024-09-22 13:10:33,5168,32,165,198,5168,0,0,0,5168,328,1695,1747
2024-09-22 13:10:34,5168,32,165,181,5168,0,0,0,5168,328,1733,1740
2024-09-22 13:10:35,5136,144,739,460,5136,0,0,0,5136,496,2547,2143
2024-09-22 13:10:36,5136,176,902,681,5136,0,0,0,5136,480,2465,2304
2024-09-22 13:10:37,5176,32,165,423,5176,0,0,0,5176,328,1697,2000
2024-09-22 13:11:27,5104,280,1429,1429,5112,0,0,0,5112,584,2985,2985
2024-09-22 13:11:28,5160,88,454,941,5152,8,41,20,5160,392,2022,2503
2024-09-22 13:11:29,5160,96,495,718,5160,0,0,10,5160,400,2064,2283
2024-09-22 13:11:30,5160,104,536,627,5160,0,0,5,5160,400,2064,2173
2024-09-22 13:11:31,5152,104,535,581,5152,0,0,2,5152,416,2143,2158
2024-09-22 13:11:32,5112,232,1185,883,5112,0,0,1,5112,568,2903,2530
2024-09-22 13:11:33,5152,112,618,750,5152,0,0,0,5152,416,2143,2336
2024-09-22 13:11:34,5160,88,454,602,5160,0,0,0,5152,416,2143,2239
2024-09-22 13:12:16,5096,328,1668,1668,5088,0,0,0,5088,664,3378,3378
2024-09-22 13:12:17,5120,200,1064,1366,5120,8,40,20,5120,576,2944,3161
2024-09-22 13:12:18,5136,192,1027,1196,5136,0,0,10,5136,488,2547,2854
2024-09-22 13:12:19,5136,176,903,1049,5136,0,0,5,5136,496,2588,2721
2024-09-22 13:12:20,5136,184,945,997,5136,0,0,2,5136,504,2588,2654
2024-09-22 13:12:21,5128,208,1066,1031,5128,0,0,1,5128,504,2625,2639
2024-09-22 13:12:22,5136,168,903,967,5136,0,0,0,5136,488,2506,2572
2024-09-22 13:12:23,5160,56,288,627,5152,0,0,0,5152,376,1978,2275
2024-09-22 13:12:24,5136,144,739,683,5136,0,0,0,5136,464,2379,2327
2024-09-22 13:12:25,5120,160,860,771,5120,0,0,0,5120,480,2457,2392
2024-09-22 13:12:26,5112,248,1267,1019,5120,0,0,0,5120,552,2826,2609
2024-09-22 13:12:27,5104,280,1429,1224,5112,0,0,0,5112,576,2944,2776
