Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3968,1861,5600.0,9152.808294573599,58.15449997317046,28513.59283400234,132.78150201612902,9.532399277660677,4.470714479769788,5600,11000,17000,21000,23000,24000,26000,27000,28000,29000,29000
,Aggregated,3968,1861,5600.0,9152.808294573599,58.15449997317046,28513.59283400234,132.78150201612902,9.532399277660677,4.470714479769788,5600,11000,17000,21000,23000,24000,26000,27000,28000,29000,29000
