2024-09-27 18:29:56, 1156072.5, 371.25, 1191853424, 3114, 80, 4942
2024-09-27 18:30:00, 939291.44, 305.56, 1191853424, 3074, 81, 4901
2024-09-27 18:30:05, 1217917.1, 386.15, 1191853424, 3154, 81, 4820
2024-09-27 18:30:10, 1220674.4, 374.44, 1190779682, 3260, 282, 5330
2024-09-27 18:30:14, 1181305.62, 383.79, 1190779682, 3078, 0, 4747
2024-09-27 18:30:19, 1189710.5, 372.95, 1190779682, 3190, 80, 5015
2024-09-27 18:30:24, 1282846.95, 387.45, 1191853424, 3311, 80, 4942
2024-09-27 18:30:28, 1213123.02, 384.63, 1191853424, 3154, 81, 4861
2024-09-27 18:30:33, 1172071.62, 380.79, 1190779682, 3078, 0, 4820
2024-09-27 18:30:38, 1226957.55, 385.23, 1192927166, 3185, 242, 5088
2024-09-27 18:30:42, 1188395.66, 376.79, 1194000908, 3154, 81, 4861
2024-09-27 18:30:47, 1193296.06, 388.19, 1192927166, 3074, 80, 4901
2024-09-27 18:30:52, 1134024.64, 373.28, 1191853424, 3038, 0, 4787
2024-09-27 18:30:56, 1189215.7, 377.05, 1192927166, 3154, 0, 4787
2024-09-27 18:31:01, 1159635.76, 377.24, 1192927166, 3074, 81, 4861
2024-09-27 18:31:06, 1154154.07, 371.23, 1191853424, 3109, 282, 5096
2024-09-27 18:31:10, 1117881.27, 389.37, 1192927166, 2871, 81, 4942
2024-09-27 18:31:15, 1185620.14, 375.91, 963955916, 3154, 0, 4820
2024-09-27 18:31:20, 1268035.86, 387.66, 983249715, 3271, 80, 5056
2024-09-27 18:31:24, 1187544.73, 381.97, 985032294, 3109, 80, 4942
2024-09-27 18:31:29, 1272288.16, 388.96, 979265126, 3271, 40, 5096
2024-09-27 18:31:34, 1138025.54, 370.21, 983354572, 3074, 81, 4942
2024-09-27 18:31:38, 1178712.88, 373.72, 980628275, 3154, 40, 4787
2024-09-27 18:31:43, 1150751.8, 390.35, 983564288, 2948, 282, 5048
